pr_id,repository,pr_title,pr_description,author,created_date,merged_date,closed_date,num_commits,num_changed_files,additions,deletions,changed_lines,num_comments,num_reviews,review_decisions,num_reviewers,labels,merged,merge_time_hours,ai_reviewer_present,ai_reviewer_names,ai_code_present,commit_messages,modified_files,num_commits_norm,num_changed_files_norm,additions_norm,deletions_norm,changed_lines_norm,num_comments_norm,num_reviews_norm,num_reviewers_norm,num_commits_is_outlier,num_changed_files_is_outlier,additions_is_outlier,deletions_is_outlier,changed_lines_is_outlier,num_comments_is_outlier,num_reviews_is_outlier,num_reviewers_is_outlier
11,facebook/react,Fix issue #11 in module 9,This PR addresses a bug This PR addresses a bug This PR addresses a bug This PR addresses a bug ,dev_33,2025-06-12,2025-06-13T07,,9,3,218.0,10,228,3,3,"[""APPROVED"", ""CHANGES_REQUESTED"", ""APPROVED""]",3,"[""breaking-change"", ""enhancement""]",True,31.66324446405746,True,"[""coderabbitai[bot]""]",False,"[""fix bug"", ""update tests""]","[""src/module_0.py"", ""src/module_1.py"", ""src/module_2.py""]",1.5366759427707333,-0.9736920864894634,2.5493413552486173,-0.6499326156767605,1.9740246052639407,-0.5012263532120382,0.5223948098788154,1.2400714796628798,False,False,True,False,False,False,False,False
12,facebook/react,Fix issue #12 in module 17,This PR addresses a bug This PR addresses a bug This PR addresses a bug This PR addresses a bug ,dev_17,2025-07-11,,,1,1,13.0,38,51,6,2,"[""CHANGES_REQUESTED"", ""APPROVED""]",2,"[""enhancement""]",False,,False,[],False,"[""fix bug"", ""update tests""]","[""src/module_0.py""]",-1.582950400191337,-1.6087086646347657,-0.7777070264276756,0.2586404724081796,-0.5754022892698655,1.0074817333793813,-0.5294068207496722,0.0032980624459118257,False,False,False,False,False,False,False,False
13,facebook/react,Fix issue #13 in module 2,This PR addresses a bug This PR addresses a bug This PR addresses a bug ,dev_27,2025-10-15,2025-10-16T09,,9,10,165.0,35,200,6,1,"[""CHANGES_REQUESTED""]",1,"[""breaking-change""]",True,33.36401534216023,False,[],False,"[""fix bug"", ""update tests""]","[""src/module_0.py"", ""src/module_1.py"", ""src/module_2.py"", ""src/module_3.py"", ""src/module_4.py""]",1.5366759427707333,1.2488659370190944,1.6891776273030392,0.16129335582765034,1.5707254355071805,1.0074817333793813,-1.5812084513781597,-1.233475354771056,False,False,False,False,False,False,False,False
14,facebook/react,Fix issue #14 in module 14,This PR addresses a bug This PR addresses a bug This PR addresses a bug This PR addresses a bug ,dev_23,2026-02-04,,,7,9,59.0,6,65,4,3,"[""COMMENTED"", ""CHANGES_REQUESTED"", ""CHANGES_REQUESTED""]",3,"[""needs-review"", ""good first issue""]",False,,False,[],False,"[""fix bug"", ""update tests""]","[""src/module_0.py"", ""src/module_1.py"", ""src/module_2.py"", ""src/module_3.py"", ""src/module_4.py""]",0.7567693570302158,0.9313576479464434,-0.031149828588117243,-0.7797287711174663,-0.3737527043914853,0.0016763423184349494,0.5223948098788154,1.2400714796628798,False,False,False,False,False,False,False,False
15,facebook/react,Fix issue #15 in module 12,This PR addresses a bug ,dev_39,2026-05-07,,,6,6,46.0,11,57,1,3,"[""CHANGES_REQUESTED"", ""APPROVED"", ""CHANGES_REQUESTED""]",2,"[""breaking-change"", ""enhancement""]",False,,False,[],False,"[""fix bug"", ""update tests""]","[""src/module_0.py"", ""src/module_1.py"", ""src/module_2.py"", ""src/module_3.py"", ""src/module_4.py""]",0.3668160641599569,-0.02116721927151,-0.2421333844992968,-0.6174835768165842,-0.48898103860770253,-1.5070317442729848,0.5223948098788154,0.0032980624459118257,False,False,False,False,False,False,False,False
16,facebook/react,Fix issue #16 in module 16,This PR addresses a bug ,dependabot[bot],2025-10-17,2025-10-17T08,,7,9,69.0,1,70,4,3,"[""APPROVED"", ""APPROVED"", ""APPROVED""]",3,[],True,8.224712827604451,False,[],False,"[""fix bug"", ""update tests""]","[""src/module_0.py"", ""src/module_1.py"", ""src/module_2.py"", ""src/module_3.py"", ""src/module_4.py""]",0.7567693570302158,0.9313576479464434,0.1311452144204824,-0.9419739654183485,-0.3017349955063495,0.0016763423184349494,0.5223948098788154,1.2400714796628798,False,False,False,False,False,False,False,False
17,facebook/react,Fix issue #17 in module 7,This PR addresses a bug This PR addresses a bug This PR addresses a bug This PR addresses a bug ,dev_33,2025-08-06,2025-08-07T19,,5,1,22.0,116,138,3,3,"[""CHANGES_REQUESTED"", ""CHANGES_REQUESTED"", ""APPROVED""]",3,"[""documentation"", ""good first issue""]",True,43.23701913147765,False,[],False,"[""fix bug"", ""update tests""]","[""src/module_0.py""]",-0.0231372287103019,-1.6087086646347657,-0.631641487719936,2.7896655035019413,0.6777058453314969,-0.5012263532120382,0.5223948098788154,1.2400714796628798,False,False,False,True,False,False,False,False
18,facebook/react,Fix issue #18 in module 8,This PR addresses a bug This PR addresses a bug ,dev_29,2026-02-21,,,1,1,100.0,51,151,11,3,"[""APPROVED"", ""COMMENTED"", ""CHANGES_REQUESTED""]",2,"[""good first issue""]",False,,True,"[""copilot-pull-request-reviewer[bot]""]",False,"[""fix bug"", ""update tests""]","[""src/module_0.py""]",-1.582950400191337,-1.6087086646347657,0.6342598477471414,0.6804779775904733,0.86495188843285,3.5219952110317476,0.5223948098788154,0.0032980624459118257,False,False,False,False,False,True,False,False
19,facebook/react,Fix issue #19 in module 3,This PR addresses a bug ,dev_35,2026-04-02,2026-04-03T01,,8,4,32.0,102,134,5,2,"[""CHANGES_REQUESTED"", ""APPROVED""]",1,"[""enhancement"", ""documentation""]",True,25.216043312859362,True,"[""coderabbitai[bot]""]",False,"[""fix bug"", ""update tests""]","[""src/module_0.py"", ""src/module_1.py"", ""src/module_2.py"", ""src/module_3.py""]",1.1467226499004746,-0.6561837974168122,-0.46934644471133635,2.3353789594594714,0.6200916782233883,0.5045790378489081,-0.5294068207496722,-1.233475354771056,False,False,False,True,False,False,False,False
20,facebook/react,Fix issue #20 in module 19,This PR addresses a bug This PR addresses a bug ,dev_16,2025-10-11,2025-10-14T17,,3,1,3.0,95,98,4,3,"[""APPROVED"", ""APPROVED"", ""COMMENTED""]",3,[],True,89.90917149564856,False,[],False,"[""fix bug"", ""update tests""]","[""src/module_0.py""]",-0.8030438144508195,-1.6087086646347657,-0.9400020694362754,2.108235687438236,0.10156417425041078,0.0016763423184349494,0.5223948098788154,1.2400714796628798,False,False,False,True,False,False,False,False
21,facebook/react,Fix issue #21 in module 17,This PR addresses a bug ,dev_38,2025-03-15,2025-03-17T06,,3,7,47.0,36,83,5,1,"[""COMMENTED""]",1,"[""documentation""]",True,54.413504168586435,False,[],False,"[""fix bug"", ""update tests""]","[""src/module_0.py"", ""src/module_1.py"", ""src/module_2.py"", ""src/module_3.py"", ""src/module_4.py""]",-0.8030438144508195,0.2963410698011411,-0.22590388019843682,0.19374239468782675,-0.11448895240499651,0.5045790378489081,-1.5812084513781597,-1.233475354771056,False,False,False,False,False,False,False,False
22,facebook/react,Fix issue #22 in module 19,This PR addresses a bug This PR addresses a bug This PR addresses a bug ,dev_3,2025-07-21,,,4,6,73.0,19,92,6,1,"[""APPROVED""]",1,[],False,,True,"[""copilot-pull-request-reviewer[bot]""]",True,"[""fix bug"", ""update tests""]","[""src/module_0.py"", ""src/module_1.py"", ""src/module_2.py"", ""src/module_3.py"", ""src/module_4.py""]",-0.4130905215805607,-0.02116721927151,0.19606323162392228,-0.3578912659351727,0.015142923588247863,1.0074817333793813,-1.5812084513781597,-1.233475354771056,False,False,False,False,False,False,False,False
23,facebook/react,Fix issue #23 in module 1,This PR addresses a bug This PR addresses a bug ,dev_6,2026-01-04,2026-01-04T02,,9,7,82.0,26,108,1,3,"[""CHANGES_REQUESTED"", ""APPROVED"", ""APPROVED""]",2,[],True,2.5958789607511887,True,"[""copilot-pull-request-reviewer[bot]""]",False,"[""fix bug"", ""update tests""]","[""src/module_0.py"", ""src/module_1.py"", ""src/module_2.py"", ""src/module_3.py"", ""src/module_4.py""]",1.5366759427707333,0.2963410698011411,0.342128770331662,-0.1307479939139376,0.24559959202068232,-1.5070317442729848,0.5223948098788154,0.0032980624459118257,False,False,False,False,False,False,False,False
24,facebook/react,Fix issue #24 in module 16,This PR addresses a bug This PR addresses a bug This PR addresses a bug ,dev_11,2025-09-16,,,9,1,71.0,18,89,3,1,"[""CHANGES_REQUESTED""]",1,"[""needs-review""]",False,,False,[],True,"[""fix bug"", ""update tests""]","[""src/module_0.py""]",1.5366759427707333,-1.6087086646347657,0.16360422302220234,-0.3903403047953491,-0.028067701742833597,-0.5012263532120382,-1.5812084513781597,-1.233475354771056,False,False,False,False,False,False,False,False
25,facebook/react,Fix issue #25 in module 5,This PR addresses a bug This PR addresses a bug This PR addresses a bug ,dev_25,2026-01-25,2026-01-28T17,,1,5,100.0,34,134,5,3,"[""CHANGES_REQUESTED"", ""CHANGES_REQUESTED"", ""CHANGES_REQUESTED""]",2,"[""good first issue""]",True,89.75215575100309,False,[],False,"[""fix bug"", ""update tests""]","[""src/module_0.py"", ""src/module_1.py"", ""src/module_2.py"", ""src/module_3.py"", ""src/module_4.py""]",-1.582950400191337,-0.3386755083441611,0.6342598477471414,0.1288443169674739,0.6200916782233883,0.5045790378489081,0.5223948098788154,0.0032980624459118257,False,False,False,False,False,False,False,False
26,facebook/react,Fix issue #26 in module 5,This PR addresses a bug This PR addresses a bug ,dev_3,2025-07-16,,,9,3,8.0,0,8,6,3,"[""APPROVED"", ""COMMENTED"", ""APPROVED""]",2,[],False,,True,"[""coderabbitai[bot]""]",False,"[""fix bug"", ""update tests""]","[""src/module_0.py"", ""src/module_1.py"", ""src/module_2.py""]",1.5366759427707333,-0.9736920864894634,-0.8588545479319755,-0.9744230042785249,-1.194754585682033,1.0074817333793813,0.5223948098788154,0.0032980624459118257,False,False,False,False,False,False,False,False
27,facebook/react,Fix issue #27 in module 2,This PR addresses a bug This PR addresses a bug ,dev_3,2025-02-08,2025-02-09T09,,4,1,66.0,28,94,2,3,"[""COMMENTED"", ""CHANGES_REQUESTED"", ""APPROVED""]",3,"[""documentation""]",True,33.403238505573064,False,[],False,"[""fix bug"", ""update tests""]","[""src/module_0.py""]",-0.4130905215805607,-1.6087086646347657,0.08245670151790252,-0.06584991619358473,0.04395000714230217,-1.0041290487425114,0.5223948098788154,1.2400714796628798,False,False,False,False,False,False,False,False
28,facebook/react,Fix issue #28 in module 10,This PR addresses a bug This PR addresses a bug This PR addresses a bug ,dev_17,2025-09-04,,,2,4,47.0,17,64,10,3,"[""APPROVED"", ""APPROVED"", ""CHANGES_REQUESTED""]",3,[],False,,True,"[""coderabbitai[bot]""]",False,"[""fix bug"", ""update tests""]","[""src/module_0.py"", ""src/module_1.py"", ""src/module_2.py"", ""src/module_3.py""]",-1.1929971073210783,-0.6561837974168122,-0.22590388019843682,-0.4227893436555255,-0.38815624616851246,3.0190925155012747,0.5223948098788154,1.2400714796628798,False,False,False,False,False,True,False,False
29,facebook/react,Fix issue #29 in module 8,This PR addresses a bug This PR addresses a bug This PR addresses a bug This PR addresses a bug ,dev_25,2026-01-23,,,9,7,8.0,4,12,4,2,"[""COMMENTED"", ""COMMENTED""]",1,"[""documentation"", ""good first issue""]",False,,True,"[""copilot-pull-request-reviewer[bot]""]",False,"[""fix bug"", ""update tests""]","[""src/module_0.py"", ""src/module_1.py"", ""src/module_2.py"", ""src/module_3.py"", ""src/module_4.py""]",1.5366759427707333,0.2963410698011411,-0.8588545479319755,-0.8446268488378192,-1.1371404185739244,0.0016763423184349494,-0.5294068207496722,-1.233475354771056,False,False,False,False,False,False,False,False
30,facebook/react,Fix issue #30 in module 9,This PR addresses a bug This PR addresses a bug ,dev_22,2025-03-19,2025-03-19T12,,6,1,45.0,13,58,1,3,"[""COMMENTED"", ""CHANGES_REQUESTED"", ""COMMENTED""]",2,"[""documentation"", ""good first issue""]",True,12.018783148709744,False,[],False,"[""fix bug"", ""update tests""]","[""src/module_0.py""]",0.3668160641599569,-1.6087086646347657,-0.2583628888001568,-0.5525854990962312,-0.47457749683067535,-1.5070317442729848,0.5223948098788154,0.0032980624459118257,False,False,False,False,False,False,False,False
31,facebook/react,Fix issue #31 in module 18,This PR addresses a bug This PR addresses a bug ,dev_38,2026-05-08,,,8,3,74.0,67,141,5,3,"[""COMMENTED"", ""COMMENTED"", ""COMMENTED""]",3,[],False,,True,"[""coderabbitai[bot]""]",False,"[""fix bug"", ""update tests""]","[""src/module_0.py"", ""src/module_1.py"", ""src/module_2.py""]",1.1467226499004746,-0.9736920864894634,0.21229273592478226,1.1996625993532963,0.7209164706625784,0.5045790378489081,0.5223948098788154,1.2400714796628798,False,False,False,False,False,False,False,False
32,facebook/react,Fix issue #32 in module 2,This PR addresses a bug This PR addresses a bug This PR addresses a bug ,dev_8,2025-08-16,2025-08-16T23,,4,9,68.0,46,114,3,3,"[""APPROVED"", ""COMMENTED"", ""CHANGES_REQUESTED""]",3,[],True,23.107750898844678,False,[],True,"[""fix bug"", ""update tests""]","[""src/module_0.py"", ""src/module_1.py"", ""src/module_2.py"", ""src/module_3.py"", ""src/module_4.py""]",-0.4130905215805607,0.9313576479464434,0.11491571011962246,0.5182327832895911,0.33202084268284526,-0.5012263532120382,0.5223948098788154,1.2400714796628798,False,False,False,False,False,False,False,False
33,facebook/react,Fix issue #33 in module 9,This PR addresses a bug This PR addresses a bug This PR addresses a bug ,dev_3,2025-04-05,2025-04-05T01,,6,6,16.0,5,21,5,3,"[""COMMENTED"", ""COMMENTED"", ""APPROVED""]",2,"[""bug"", ""needs-review""]",True,1.7178634148962417,False,[],False,"[""fix bug"", ""update tests""]","[""src/module_0.py"", ""src/module_1.py"", ""src/module_2.py"", ""src/module_3.py"", ""src/module_4.py""]",0.3668160641599569,-0.02116721927151,-0.7290185135250958,-0.8121778099776428,-1.00750854258068,0.5045790378489081,0.5223948098788154,0.0032980624459118257,False,False,False,False,False,False,False,False
34,facebook/react,Fix issue #34 in module 6,This PR addresses a bug ,dev_11,2025-03-31,2025-04-01T19,,4,3,13.0,39,52,7,3,"[""COMMENTED"", ""APPROVED"", ""COMMENTED""]",2,"[""documentation"", ""breaking-change""]",True,43.80203801604512,False,[],False,"[""fix bug"", ""update tests""]","[""src/module_0.py"", ""src/module_1.py"", ""src/module_2.py""]",-0.4130905215805607,-0.9736920864894634,-0.7777070264276756,0.2910895112683561,-0.5609987474928383,1.5103844289098547,0.5223948098788154,0.0032980624459118257,False,False,False,False,False,False,False,False
35,facebook/react,Fix issue #35 in module 9,This PR addresses a bug This PR addresses a bug ,dev_12,2026-04-04,,,1,5,106.0,100,206,6,2,"[""COMMENTED"", ""COMMENTED""]",1,[],False,,True,"[""copilot-pull-request-reviewer[bot]""]",False,"[""fix bug"", ""update tests""]","[""src/module_0.py"", ""src/module_1.py"", ""src/module_2.py"", ""src/module_3.py"", ""src/module_4.py""]",-1.582950400191337,-0.3386755083441611,0.7316368735523011,2.2704808817391187,1.6571466861693434,1.0074817333793813,-0.5294068207496722,-1.233475354771056,False,False,False,True,False,False,False,False
36,facebook/react,Fix issue #36 in module 14,This PR addresses a bug This PR addresses a bug This PR addresses a bug This PR addresses a bug ,dev_38,2025-04-14,,,4,9,125.0,14,139,5,2,"[""APPROVED"", ""COMMENTED""]",1,"[""enhancement"", ""documentation""]",False,,False,[],True,"[""fix bug"", ""update tests""]","[""src/module_0.py"", ""src/module_1.py"", ""src/module_2.py"", ""src/module_3.py"", ""src/module_4.py""]",-0.4130905215805607,0.9313576479464434,1.0399974552686406,-0.5201364602360549,0.6921093871085241,0.5045790378489081,-0.5294068207496722,-1.233475354771056,False,False,False,False,False,False,False,False
37,facebook/react,Fix issue #37 in module 1,This PR addresses a bug This PR addresses a bug ,dev_4,2025-04-07,2025-04-08T12,,1,4,81.0,25,106,4,3,"[""CHANGES_REQUESTED"", ""CHANGES_REQUESTED"", ""CHANGES_REQUESTED""]",3,[],True,36.82547961037559,True,"[""copilot-pull-request-reviewer[bot]""]",False,"[""fix bug"", ""update tests""]","[""src/module_0.py"", ""src/module_1.py"", ""src/module_2.py"", ""src/module_3.py""]",-1.582950400191337,-0.6561837974168122,0.325899266030802,-0.16319703277411404,0.216792508466628,0.0016763423184349494,0.5223948098788154,1.2400714796628798,False,False,False,False,False,False,False,False
38,facebook/react,Fix issue #38 in module 5,This PR addresses a bug This PR addresses a bug This PR addresses a bug This PR addresses a bug ,dev_11,2025-10-10,,,4,2,0.0,27,27,5,3,"[""CHANGES_REQUESTED"", ""CHANGES_REQUESTED"", ""CHANGES_REQUESTED""]",2,"[""needs-review""]",False,,False,[],False,"[""fix bug"", ""update tests""]","[""src/module_0.py"", ""src/module_1.py""]",-0.4130905215805607,-1.2912003755621144,-0.9886905823388552,-0.09829895505376116,-0.9210872919185171,0.5045790378489081,0.5223948098788154,0.0032980624459118257,False,False,False,False,False,False,False,False
39,facebook/react,Fix issue #39 in module 11,This PR addresses a bug This PR addresses a bug This PR addresses a bug ,dev_1,2025-08-02,,,1,10,4.0,2,6,5,1,"[""CHANGES_REQUESTED""]",1,[],False,,False,[],True,"[""fix bug"", ""update tests""]","[""src/module_0.py"", ""src/module_1.py"", ""src/module_2.py"", ""src/module_3.py"", ""src/module_4.py""]",-1.582950400191337,1.2488659370190944,-0.9237725651354154,-0.9095249265581721,-1.2235616692360873,0.5045790378489081,-1.5812084513781597,-1.233475354771056,False,False,False,False,False,False,False,False
40,facebook/react,Fix issue #40 in module 2,This PR addresses a bug This PR addresses a bug This PR addresses a bug ,dev_18,2025-03-31,2025-04-03T03,,9,10,97.0,0,97,5,2,"[""COMMENTED"", ""CHANGES_REQUESTED""]",2,"[""enhancement"", ""breaking-change""]",True,75.71776428459125,False,[],True,"[""fix bug"", ""update tests""]","[""src/module_0.py"", ""src/module_1.py"", ""src/module_2.py"", ""src/module_3.py"", ""src/module_4.py""]",1.5366759427707333,1.2488659370190944,0.5855713348445615,-0.9744230042785249,0.08716063247338363,0.5045790378489081,-0.5294068207496722,0.0032980624459118257,False,False,False,False,False,False,False,False
41,facebook/react,Fix issue #41 in module 8,This PR addresses a bug ,dev_7,2025-12-08,,,5,1,11.0,97,108,5,4,"[""APPROVED"", ""APPROVED"", ""CHANGES_REQUESTED"", ""COMMENTED""]",3,"[""needs-review"", ""bug""]",False,,False,[],True,"[""fix bug"", ""update tests""]","[""src/module_0.py""]",-0.0231372287103019,-1.6087086646347657,-0.8101660350293957,2.1731337651585894,0.24559959202068232,0.5045790378489081,1.574196440507303,1.2400714796628798,False,False,False,True,False,False,False,False
42,facebook/react,Fix issue #42 in module 1,This PR addresses a bug This PR addresses a bug This PR addresses a bug This PR addresses a bug ,dev_29,2025-05-12,,,2,6,34.0,15,49,3,3,"[""COMMENTED"", ""COMMENTED"", ""COMMENTED""]",2,"[""bug""]",False,,True,"[""coderabbitai[bot]""]",True,"[""fix bug"", ""update tests""]","[""src/module_0.py"", ""src/module_1.py"", ""src/module_2.py"", ""src/module_3.py"", ""src/module_4.py""]",-1.1929971073210783,-0.02116721927151,-0.4368874361096164,-0.4876874213758784,-0.6042093728239197,-0.5012263532120382,0.5223948098788154,0.0032980624459118257,False,False,False,False,False,False,False,False
43,facebook/react,Fix issue #43 in module 19,This PR addresses a bug ,dev_28,2025-08-27,2025-08-28T01,,7,3,15.0,33,48,1,2,"[""COMMENTED"", ""CHANGES_REQUESTED""]",2,"[""needs-review"", ""enhancement""]",True,25.280302867260005,True,"[""coderabbitai[bot]""]",True,"[""fix bug"", ""update tests""]","[""src/module_0.py"", ""src/module_1.py"", ""src/module_2.py""]",0.7567693570302158,-0.9736920864894634,-0.7452480178259557,0.09639527810729745,-0.6186129146009469,-1.5070317442729848,-0.5294068207496722,0.0032980624459118257,False,False,False,False,False,False,False,False
44,facebook/react,Fix issue #44 in module 3,This PR addresses a bug This PR addresses a bug This PR addresses a bug ,dev_12,2025-08-22,2025-08-24T04,,3,4,61.0,36,97,4,4,"[""APPROVED"", ""APPROVED"", ""CHANGES_REQUESTED"", ""CHANGES_REQUESTED""]",3,[],True,52.30748446898859,False,[],False,"[""fix bug"", ""update tests""]","[""src/module_0.py"", ""src/module_1.py"", ""src/module_2.py"", ""src/module_3.py""]",-0.8030438144508195,-0.6561837974168122,0.0013091800136026896,0.19374239468782675,0.08716063247338363,0.0016763423184349494,1.574196440507303,1.2400714796628798,False,False,False,False,False,False,False,False
45,facebook/react,Fix issue #45 in module 11,This PR addresses a bug This PR addresses a bug ,dev_4,2025-07-20,2025-07-20T04,,2,3,43.0,40,83,6,4,"[""CHANGES_REQUESTED"", ""CHANGES_REQUESTED"", ""APPROVED"", ""APPROVED""]",3,"[""bug""]",True,4.502232564921466,True,"[""copilot-pull-request-reviewer[bot]""]",False,"[""fix bug"", ""update tests""]","[""src/module_0.py"", ""src/module_1.py"", ""src/module_2.py""]",-1.1929971073210783,-0.9736920864894634,-0.2908218974018767,0.3235385501285325,-0.11448895240499651,1.0074817333793813,1.574196440507303,1.2400714796628798,False,False,False,False,False,False,False,False
